frames,reward,dist
5000,0.0000,7.2908
10000,0.0000,13.8342
15000,0.0000,5.7789
20000,0.0000,13.9906
25000,0.0000,14.0353
30000,0.0000,14.0149
35000,0.0000,14.0355
40000,0.0000,14.0962
45000,0.0000,14.0870
50000,0.0000,14.1323
55000,0.0000,4.8120
60000,0.0000,14.1188
65000,0.0000,14.0918
70000,0.0000,10.8612
75000,0.0000,14.1067
80000,0.0000,10.3036
85000,0.0000,10.1832
90000,0.0000,14.0817
95000,0.0000,12.5627
100000,0.0000,14.1389
105000,0.0000,8.3187
110000,0.0000,13.4154
115000,0.0000,8.2718
120000,0.0000,12.1978
125000,0.0000,12.7880
130000,0.0000,8.7446
135000,0.0000,10.2640
140000,0.0000,9.6159
145000,0.0000,9.3642
150000,0.0000,11.3978
155000,0.0000,12.9356
160000,0.0000,9.4339
165000,0.0000,11.8303
170000,0.0000,6.5776
175000,0.0000,10.4302
180000,0.0000,9.6067
185000,0.0000,7.7955
190000,0.0000,10.5134
195000,0.0000,10.4373
200000,0.0000,9.4031
205000,0.0000,9.4419
210000,0.0000,12.6089
215000,0.0000,8.8123
220000,0.0000,9.9193
225000,0.0000,10.5084
230000,0.0000,8.5675
235000,0.0000,8.1036
240000,0.0000,12.2222
245000,0.0000,6.2166
250000,0.0000,7.2762
255000,0.0000,8.1164
260000,0.0000,10.7431
265000,0.0000,10.8258
270000,0.0000,10.6932
275000,0.0000,9.4653
280000,0.0000,10.8609
285000,0.0000,11.4522
290000,0.0000,10.6092
295000,0.0000,10.7584
300000,0.0000,10.9568
305000,0.0000,9.6564
310000,0.0000,11.6110
315000,0.0000,11.6583
320000,0.0000,12.0252
325000,0.0000,12.2859
330000,0.0000,13.0590
335000,0.0000,11.3993
340000,0.0000,11.6249
345000,0.0000,11.3909
350000,0.0000,11.0460
355000,0.0000,12.1705
360000,0.0000,8.5510
365000,0.0000,11.3898
370000,0.0000,11.8835
375000,0.0000,12.2946
380000,0.0000,11.0046
385000,0.0000,11.4745
390000,0.0000,11.7637
395000,0.0000,10.9163
400000,0.0000,9.5413
405000,0.0000,12.3524
410000,0.0000,12.3767
415000,0.0000,11.7098
420000,0.0000,12.1513
425000,0.0000,11.9447
430000,0.0000,12.9670
435000,0.0000,10.0941
440000,0.0000,11.4765
445000,0.2000,11.7293
450000,0.4000,12.1784
455000,0.0000,11.8628
460000,0.4000,10.5607
465000,0.0000,9.2427
470000,0.0000,10.3477
475000,0.0000,9.6981
480000,0.0000,11.1992
485000,0.0000,10.4194
490000,0.0000,11.3486
495000,0.0000,10.9217
500000,0.4000,11.3286
505000,0.0000,11.1754
510000,0.0000,11.7243
515000,0.0000,10.6005
520000,0.0000,11.5654
525000,0.0000,11.5581
530000,0.2000,11.1047
535000,0.0000,10.5155
540000,0.0000,11.6568
545000,0.0000,11.0659
550000,0.0000,11.5030
555000,0.0000,10.6070
560000,0.0000,10.0313
565000,0.0000,9.6473
570000,0.0000,9.8174
575000,0.0000,11.2168
580000,0.0000,10.9324
585000,0.0000,10.5536
590000,0.0000,11.7607
595000,0.0000,11.1843
600000,0.0000,10.6027
605000,0.0000,11.1098
610000,0.0000,10.2864
615000,0.0000,10.4176
620000,0.0000,11.3401
625000,0.0000,11.1269
630000,0.0000,11.0493
635000,0.0000,11.0780
640000,0.0000,12.1879
645000,0.0000,10.9058
650000,0.0000,10.8960
655000,0.0000,10.9217
660000,0.0000,11.1007
665000,0.4000,12.8155
670000,0.4000,10.4258
675000,0.2000,11.4539
680000,0.6000,11.2659
685000,0.0000,11.2914
690000,0.0000,12.6782
695000,0.4000,11.1701
700000,0.8000,11.1529
705000,0.0000,12.0946
710000,0.2000,9.7187
715000,0.2000,12.0567
720000,0.6000,11.5525
725000,0.6000,11.1078
730000,0.2000,9.4132
735000,0.0000,8.6500
740000,0.0000,11.8466
745000,0.0000,12.0830
750000,0.0000,11.6324
755000,0.6000,10.4464
760000,0.0000,12.1268
765000,0.4000,11.0769
770000,0.8000,11.6099
775000,0.6000,10.5824
780000,0.6000,11.8119
785000,0.8000,11.2531
790000,0.4000,12.1004
795000,0.6000,10.3962
800000,0.4000,11.7217
805000,0.4000,12.1328
810000,0.6000,12.3341
815000,0.6000,12.7349
820000,0.6000,11.1743
825000,0.0000,11.8695
830000,0.0000,11.8613
835000,0.4000,11.4862
840000,0.6000,12.7871
845000,0.0000,12.6409
850000,0.2000,12.2162
855000,0.8000,12.2160
860000,0.6000,11.2841
865000,0.4000,12.8155
870000,0.2000,12.3111
875000,0.8000,11.8916
